6.97,
4.59,
3.92,
4.18,
6.15,
8.83,
12.3,
13.6,
14.74,
13.78,
12.55,
9.63,
6.29,
4.32,
3.16,
3.93,
5.93,
8.46,
12.05,
14.43,
15.21,
14.56,
12.73,
9.97,
6.48,
4.14,
3.61,
4.55,
6.13,
9.21,
11.51,
13.88,
14.45,
14.49,
12.44,
10.18,
6.35,
4.13,
3.26,
3.82,
6.0,
8.23,
10.83,
13.92,
14.03,
14.24,
12.61,
9.61,
6.51,
3.65
