dt,AverageTemperature,Country
1802-08-01,23.454,Turkey
1802-09-01,18.95,Turkey
1802-10-01,14.632,Turkey
1802-11-01,8.093,Turkey
1802-12-01,3.241,Turkey
1803-01-01,-2.25,Turkey
1803-02-01,-0.6189999999999998,Turkey
1803-03-01,4.729,Turkey
1803-04-01,11.664000000000001,Turkey
1803-05-01,15.696,Turkey
1803-06-01,19.715,Turkey
1803-07-01,23.435,Turkey
1803-08-01,24.103,Turkey
1803-09-01,19.159,Turkey
1803-10-01,13.427,Turkey
1803-11-01,8.424,Turkey
1803-12-01,1.879,Turkey
1804-01-01,1.5539999999999998,Turkey
1804-02-01,0.91,Turkey
1804-03-01,4.234,Turkey
1804-04-01,11.885000000000002,Turkey
1804-05-01,15.292,Turkey
1804-06-01,19.74,Turkey
1804-07-01,24.127,Turkey
1804-08-01,23.064,Turkey
1804-09-01,19.415,Turkey
1804-10-01,13.353000000000002,Turkey
1804-11-01,7.792000000000002,Turkey
1804-12-01,1.489,Turkey
1805-01-01,0.8490000000000001,Turkey
1805-02-01,1.3750000000000002,Turkey
1805-03-01,5.466,Turkey
1805-04-01,9.18,Turkey
1805-05-01,14.575,Turkey
1805-06-01,20.247,Turkey
1805-07-01,22.94,Turkey
1805-08-01,23.369,Turkey
1805-09-01,19.075,Turkey
1805-10-01,11.393,Turkey
1805-11-01,5.959999999999999,Turkey
1805-12-01,3.864,Turkey
1806-01-01,1.952,Turkey
1806-02-01,1.936,Turkey
1806-03-01,5.4060000000000015,Turkey
1806-04-01,10.211,Turkey
1806-05-01,15.705,Turkey
1806-06-01,18.536,Turkey
1806-07-01,22.391,Turkey
1806-08-01,23.044,Turkey
1806-09-01,19.713,Turkey
1806-10-01,12.537,Turkey
1806-11-01,7.407999999999999,Turkey
1806-12-01,3.992,Turkey
1807-01-01,-0.244,Turkey
1807-02-01,2.3160000000000003,Turkey
1807-03-01,5.081,Turkey
1807-04-01,8.945,Turkey
1807-05-01,13.583,Turkey
1807-06-01,19.532,Turkey
1807-07-01,22.664,Turkey
1807-08-01,23.54000000000001,Turkey
1807-09-01,20.246,Turkey
1807-10-01,13.816,Turkey
1807-11-01,9.123,Turkey
1807-12-01,4.341,Turkey
1808-01-01,1.594,Turkey
1808-02-01,0.387,Turkey
1808-03-01,2.375,Turkey
1808-04-01,8.994000000000002,Turkey
1808-05-01,13.319,Turkey
